DOEID
CHRGPLGT
ELECDEV
ELECCHRG
CHRGPLGE
HEATHOME
DNTHEAT
EQUIPNOHEAT
FUELNOHEAT
EQUIPM
FUELHEAT
EQUIPAGE
REPLCHT
HEATOTH
EQUIPAUX
REVERSE
WARMAIR
FURNFUEL
STEAMR
RADFUEL
PERMELEC
PIPELESS
PIPEFUEL
ROOMHEAT
RMHTFUEL
WOODKILN
HSFUEL
CARRYEL
CARRYKER
CHIMNEY
FPFUEL
RANGE
RNGFUEL
DIFEQUIP
DIFFUEL
EQMAMT
HEATROOM
THERMAIN
NUMTHERM
PROTHERM
AUTOHEATNITE
AUTOHEATDAY
TEMPHOME
TEMPGONE
TEMPNITE
MOISTURE
USEMOISTURE
NUMH2ONOTNK
NUMH2OHTRS
H2OTYPE1
FUELH2O
WHEATOTH
WHEATSIZ
WHEATAGE
WHEATBKT
H2OTYPE2
FUELH2O2
WHEATSIZ2
WHEATAGE2
AIRCOND
DNTAC
COOLTYPENOAC
COOLTYPE
DUCTS
CENACHP
ACOTHERS
AGECENAC
REPLCCAC
ACROOMS
USECENAC
THERMAINAC
PROTHERMAC
AUTOCOOLNITE
AUTOCOOLDAY
TEMPHOMEAC
TEMPGONEAC
TEMPNITEAC
NUMBERAC
WWACAGE
ESWWAC
REPLCWWAC
USEWWAC
NUMCFAN
USECFAN
TREESHAD
NOTMOIST
USENOTMOIST
SWIMPOOL
POOL
FUELPOOL
RECBATH
FUELTUB
LGT12
LGT12EE
LGT4
LGT4EE
LGT1
LGT1EE
NOUTLGTNT
LGTOEE
NGASLIGHT
INSTLCFL
SLDDRS
DOOR1SUM
WINDOWS
TYPEGLASS
NEWGLASS
ADQINSUL
INSTLINS
AGEINS
DRAFTY
INSTLWS
AGEWS
AUDIT
AGEAUD
USEEL
USENG
USELP
USEFO
USEKERO
USEWOOD
USESOLAR
USEOTH
ELWARM
ELECAUX
ELCOOL
ELWATER
ELFOOD
ELOTHER
UGWARM
UGASAUX
UGWATER
UGCOOK
UGOTH
LPWARM
LPGAUX
LPWATER
LPCOOK
LPOTHER
FOWARM
FOILAUX
FOWATER
FOOTHER
KRWARM
KEROAUX
KRWATER
KROTHER
WDWARM
WOODAUX
WDWATER
WDOTHUSE
SOLWARM
SOLARAUX
SOLWATER
SOLOTHER
OTHWARM
OTHERAUX
OTHWATER
OTHCOOK
ONSITE
ONSITEGRID
PELHEAT
PELHOTWA
PELCOOK
PELAC
PELLIGHT
OTHERWAYEL
PGASHEAT
PGASHTWA
PUGCOOK
PUGOTH
OTHERWAYNG
FOPAY
OTHERWAYFO
LPGPAY
OTHERWAYLPG
LPGDELV
KERODEL
KEROCASH
NOCRCASH
NKRGALNC
WOODLOGS
WDSCRAP
WDPELLET
WDOTHER
WOODAMT
NUMCORDS
KFUELOT
HHSEX
EMPLOYHH
SPOUSE
SDESCENT
Householder_Race
EDUCATION
NHSLDMEM
HHAGE
AGEHHMEMCAT2
AGEHHMEMCAT3
AGEHHMEMCAT4
AGEHHMEMCAT5
AGEHHMEMCAT6
AGEHHMEMCAT7
AGEHHMEMCAT8
AGEHHMEMCAT9
AGEHHMEMCAT10
AGEHHMEMCAT11
AGEHHMEMCAT12
AGEHHMEMCAT13
AGEHHMEMCAT14
HBUSNESS
ATHOME
TELLWORK
TELLDAYS
OTHWORK
WORKPAY
MONEYPY
POVERTY100
POVERTY150
HUPROJ
RENTHELP
TOTSQFT
TOTSQFT_EN
TOTHSQFT
TOTUSQFT
TOTCSQFT
TOTUCSQFT
KWH
KWHSPH
KWHCOL
KWHWTH
KWHRFG
KWHOTH 
BTUEL
BTUELSPH
BTUELCOL
BTUELWTH
BTUELRFG
BTUELOTH
DOLLAREL
DOLELSPH
DOLELCOL
DOLELWTH
DOLELRFG
DOLELOTH
CUFEETNG
CUFEETNGSPH
CUFEETNGWTH
CUFEETNGOTH
BTUNG
BTUNGSPH
BTUNGWTH
BTUNGOTH
DOLLARNG
DOLNGSPH
DOLNGWTH
DOLNGOTH
GALLONLP
GALLONLPSPH
GALLONLPWTH
GALLONLPOTH
BTULP
BTULPSPH
BTULPWTH
BTULPOTH
DOLLARLP
DOLLPSPH
DOLLPWTH
DOLLPOTH
GALLONFO
GALLONFOSPH
GALLONFOWTH
GALLONFOOTH
BTUFO
BTUFOSPH
BTUFOWTH
BTUFOOTH
DOLLARFO
DOLFOSPH
DOLFOWTH
DOLFOOTH
GALLONKER
GALLONKERSPH
GALLONKERWTH
GALLONKEROTH
BTUKER
BTUKERSPH
BTUKERWTH
BTUKEROTH
DOLLARKER
DOLKERSPH
DOLKERWTH
DOLKEROTH
BTUWOOD
CORDSWD
TOTALBTU
TOTALBTUSPH
TOTALBTUCOL
TOTALBTUWTH
TOTALBTURFG
TOTALBTUOTH
TOTALDOL
TOTALDOLSPH
TOTALDOLCOL
TOTALDOLWTH
TOTALDOLRFG
TOTALDOLOTH
